estab_internacao;zero_nove;dez_nove;vinte_nove;trinta_nove;quarenta_nove;cinquenta_nove;sessenta_nove;setenta_nove;oitenta_nove;noventa_nove;cem_mais;ignorada;total
2077531 A C CAMARGO CANCER CENTER;;;1;6;3;15;32;35;20;2;;;114
6218830 AMA CAPAO REDONDO;;;;;;;2;1;;;;;3
6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES;;;;;1;;3;2;1;;;;7
6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA;;;;;;;2;;1;1;;;4
6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA;;;;1;;1;1;1;;;;;4
6146309 AMA HOSPITALAR DR CARMINO CARICCHIO;;;;;2;5;1;5;2;1;;;16
6148344 AMA JARDIM PERI;;;;;;;1;;;;;;1
6131662 AMA PARQUE FERNANDA;;;;;1;;2;;;;;;3
6133622 AMA SACOMA;;;;2;1;1;3;;;1;;;8
2787253 AMA UBS INTEGRADA JARDIM CASTRO ALVES DRA MARIA CRISTINA F;;;;1;;1;;;;;;;2
2787474 AMA UBS INTEGRADA JARDIM ICARAI QUINTANA;;;;;;1;;1;1;;;;3
2787601 AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA;;;1;;1;3;1;;;1;;;7
2788225 AMA UBS INTEGRADA PERUS;;;;;;;1;;;;;;1
2788292 AMA UBS INTEGRADA PQ DOROTEIA;;;;;;;1;;;1;;;2
2788322 AMA UBS INTEGRADA PQ FERNANDA;;;;;;;1;;;;;;1
2077655 ASSOC AACD V CLEMENTINO;;1;;;1;;;2;;;;;4
5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;;;;;;1;9;23;16;5;1;;55
9373306 ASSOCIACAO HOSPITALAR CONEGO DOMENICO RANGONI;;;;;;;1;;2;;;;3
2200457 ASSOCIACAO MARIO PENNA - BELO HORIZONTE (MG);;;;;;1;;;;;;;1
6984649 BP HOSPITAL FILANTROPICO;2;;;;;1;;;1;;;;4
6430120 BP MIRANTE;;;;;1;5;9;9;9;5;;;38
2764814 CASA DE CARIDADE DE SAO LOURENCO;;;;;;;1;;;;;;1
2081946 CASA DE SAUDE;;;;;1;;;1;;;;;2
3008398 CASA DE SAUDE SANTOS;;;;;;;1;;1;;;;2
2271443 CASA DE SAUDE SAO JOSE;;;;;;;1;;;1;;;2
2082926 CASA DE SAUDE STELLA MARIS;;;1;;;;;;;;;;1
6697054 CASU IRMA DENISE - CARATINGA (MG);;;;;;;;1;;;;;1
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;;;;;3;15;23;7;2;1;;;51
2077957 CENTRO DE REFERENCIA E TREINAMENTO DSTAIDS SAO PAULO;;;;;1;1;;;;;;;2
2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG;;;;1;;2;3;1;;;;;7
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;;1;3;4;7;12;43;23;13;;;;106
3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;;;;;1;;;;;;;;1
2079666 CENTRO MEDICO DE CAMPINAS;;;;;;1;;;;;;;1
3464555 CENTRO MEDICO PMESP;;;1;4;9;36;22;30;14;4;1;;121
9089136 CLINICA PREMIUM CARE FILIAL BELA VISTA;;;;;;;1;;;;;;1
9238735 CLINICA PREMIUM CARE FILIAL CAMPO BELO;;;;;;;;;1;1;;;2
7710569 CLINICA PREMIUM CARE FILIAL ITAIM;;;;;;;;;;1;;;1
6032699 CLINICA PREMIUM CARE VILA OLIMPIA;;;;;;;;;1;1;;;2
0015369 COMPLEXO HOSPITALAR DO TRABALHADOR - CURITIBA - PR;;;;1;;;;;;;;;1
6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES - SANTOS (SP);;;;;;1;;;;;;;1
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;;;;;;;2;2;1;;;;5
2082594 COMPLEXO HOSPITALAR MUNICIPAL;;;;;;5;4;6;6;1;;;22
6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I;;;;;1;;3;3;2;;;;9
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;;;2;;12;11;14;5;3;4;;;51
