estab_internacao;sim;nao;ign;total
2077531 A C CAMARGO CANCER CENTER;40;95;2;137
6218830 AMA CAPAO REDONDO;;1;;1
6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES;3;1;;4
6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA;3;;;3
6146309 AMA HOSPITALAR DR CARMINO CARICCHIO;1;;;1
2077655 ASSOC AACD V CLEMENTINO;4;;;4
5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;8;2;;10
6430120 BP MIRANTE;28;23;33;84
2081946 CASA DE SAUDE;2;;;2
3008398 CASA DE SAUDE SANTOS;1;;;1
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;6;6;;12
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;2;3;;5
3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;1;;;1
2079666 CENTRO MEDICO DE CAMPINAS;1;1;;2
3464555 CENTRO MEDICO PMESP;38;1;;39
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;1;1;;2
2082594 COMPLEXO HOSPITALAR MUNICIPAL;1;;2;3
6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I;3;;;3
7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II;13;4;;17
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;2;;;2
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;1;;;1
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;656;160;135;951
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;1;;;1
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP;;;1;1
2080001 FAMILY HOSPITAL;9;6;;15
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;306;2;163;471
2296608 HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA;1;;;1
2786435 HCSVP HOSPITAL SAO VICENTE;1;;;1
2079089 HOSP 9 DE JULHO;205;4;25;234
2082314 HOSP ALBERT SABIN;24;;222;246
2089238 HOSP ALVORADA;400;135;1;536
2078481 HOSP AVICCENA;55;104;7;166
2078600 HOSP DA AERONAUTICA DE SPHASP;3;2;2;7
3019012 HOSP DE CLINICAS J HELENA;3;1;;4
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;24;13;;37
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;68;1;187;256
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;69;7;12;88
2077469 HOSP DOM ANTONIO DE ALVARENGA;15;9;41;65
2089610 HOSP EDMUNDO VASCONCELOS;15;;4;19
2078007 HOSP GERAL DE SAO PAULO;4;;10;14
2089653 HOSP IGUATEMI;30;1;4;35
2680785 HOSP MAT ALVORADA STO AMARO;16;15;2;33
2089602 HOSP MAT DO SEPACO;48;;6;54
