COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Suporte ventilatório
Período:2021
"Estab de Internação";"Em branco";"Sim, invasivo";"Sim, não invasivo";"Não";"Ignorado";"Total"
"2077531 A C CAMARGO CANCER CENTER";21;11;78;72;1;183
"6771084 AES TATUAPE";-;1;-;-;-;1
"6138667 AMA CAMPO LIMPO FERNANDO MAURO P DA ROCHA";-;-;1;-;-;1
"6218830 AMA CAPAO REDONDO";3;1;37;11;-;52
"6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES";40;-;8;4;-;52
"6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA";2;-;9;9;-;20
"6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA";-;-;1;-;-;1
"6146309 AMA HOSPITALAR DR CARMINO CARICCHIO";12;18;27;2;1;60
"6135927 AMA PARELHEIROS";-;-;2;-;-;2
"6131662 AMA PARQUE FERNANDA";-;1;15;-;-;16
"6133622 AMA SACOMA";1;4;19;-;-;24
"6998208 AMA SOROCABANA";-;-;2;-;-;2
"2787253 AMA UBS INTEGRADA JARDIM CASTRO ALVES DRA MARIA CRISTINA F";-;-;1;2;-;3
"2787474 AMA UBS INTEGRADA JARDIM ICARAI QUINTANA";-;-;3;-;-;3
"2787601 AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA";-;7;28;5;-;40
"2788225 AMA UBS INTEGRADA PERUS";1;-;-;-;-;1
"2788292 AMA UBS INTEGRADA PQ DOROTEIA";-;-;3;2;-;5
"2788322 AMA UBS INTEGRADA PQ FERNANDA";-;-;17;2;-;19
"2077655 ASSOC AACD V CLEMENTINO";1;2;6;-;-;9
"5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS";-;7;12;-;2;21
"9373306 ASSOCIACAO HOSPITALAR CONEGO DOMENICO RANGONI";-;2;1;2;1;6
"2091399 ASSOCIACAO NOSSA SENHORA DO PARI";-;-;1;2;-;3
"6984649 BP HOSPITAL FILANTROPICO";-;2;4;2;-;8
"6430120 BP MIRANTE";24;23;64;44;-;155
"2764814 CASA DE CARIDADE DE SAO LOURENCO";-;-;1;-;-;1
"2081946 CASA DE SAUDE";-;-;2;-;-;2
"2084309 CASA DE SAUDE";-;-;-;1;-;1
"3008398 CASA DE SAUDE SANTOS";-;-;1;-;-;1
"2271443 CASA DE SAUDE SAO JOSE";-;1;-;-;-;1
"2082926 CASA DE SAUDE STELLA MARIS";-;-;2;-;-;2
"2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO";1;7;60;15;-;83
"2048035 CENTRO DE VIGILANCIA A SAUDE DE DIADEMA";-;-;1;-;-;1
"2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG";3;5;17;1;-;26
"0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO";7;33;6;5;32;83
"3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO";-;1;1;-;-;2
"2079666 CENTRO MEDICO DE CAMPINAS";-;-;-;1;-;1
"3464555 CENTRO MEDICO PMESP";1;23;281;5;3;313
"3065634 CHN COMPLEXO HOSPITALAR DE NITEROI";-;-;1;-;-;1
"9089136 CLINICA PREMIUM CARE FILIAL BELA VISTA";1;-;-;-;1;2
"9238735 CLINICA PREMIUM CARE FILIAL CAMPO BELO";-;-;-;1;-;1
"6032699 CLINICA PREMIUM CARE VILA OLIMPIA";-;-;-;1;-;1
"2384299 COMPLEXO HOSPITAL DE CLINICAS";-;-;6;-;-;6
"0015369 COMPLEXO HOSPITALAR DO TRABALHADOR - CURITIBA - PR";-;-;2;-;-;2
"6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES - SANTOS (SP)";-;-;-;-;1;1
"2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S";-;1;1;-;-;2
"2082594 COMPLEXO HOSPITALAR MUNICIPAL";1;5;9;5;-;20
"6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I";-;2;19;4;2;27
"7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II";-;-;12;4;-;16
"2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS";3;17;52;13;-;85
"6053858 COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI";-;1;2;-;-;3
"7593643 COMPLEXO HOSPITALAR SANTO EXPEDITO";-;-;3;-;-;3
"0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA";23;84;613;71;-;791
"7947984 COMPLEXO MUNICIPAL DE SAUDE";1;-;1;-;-;2
"2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO";164;146;638;368;107;1423
"2081695 CONJUNTO HOSPITALAR SOROCABA";-;1;-;-;-;1
"2078627 DAY HOSPITAL DE ERMELINO MATARAZZO";3;8;159;35;1;206
"9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP";4;-;-;-;-;4
"0009709 EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN";-;1;1;-;-;2
"2080001 FAMILY HOSPITAL";1;2;4;2;-;9
"2090236 FUNDACAO PIO XII - BARRETOS (SP)";-;1;1;2;-;4
"2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO";230;461;1021;270;4;1986
"2296608 HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA";-;-;1;-;-;1
"2786435 HCSVP HOSPITAL SAO VICENTE";-;-;4;-;-;4
"2751860 HD DA REDE HORA CERTA IPIRANGA FLAVIO GIANNOTTI";8;5;54;4;-;71
"0010561 HFA";-;-;1;-;-;1
"2079089 HOSP 9 DE JULHO";33;39;474;19;-;565
"2082314 HOSP ALBERT SABIN";17;51;170;193;-;431
