COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Evolução
Período:2021
"Estab de Internação";"Cura";"Óbito";"Óbito por outras causas";"Ignorado";"Sem informação";"Total"
"2077531 A C CAMARGO CANCER CENTER";139;35;1;-;8;183
"6771084 AES TATUAPE";-;-;1;-;-;1
"6138667 AMA CAMPO LIMPO FERNANDO MAURO P DA ROCHA";-;-;-;-;1;1
"6218830 AMA CAPAO REDONDO";15;3;-;-;34;52
"6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES";13;6;-;2;31;52
"6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA";7;2;-;1;10;20
"6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA";1;-;-;-;-;1
"6146309 AMA HOSPITALAR DR CARMINO CARICCHIO";13;15;1;5;26;60
"6135927 AMA PARELHEIROS";-;-;-;-;2;2
"6131662 AMA PARQUE FERNANDA";12;3;-;-;1;16
"6133622 AMA SACOMA";16;8;-;-;-;24
"6998208 AMA SOROCABANA";2;-;-;-;-;2
"2787253 AMA UBS INTEGRADA JARDIM CASTRO ALVES DRA MARIA CRISTINA F";1;2;-;-;-;3
"2787474 AMA UBS INTEGRADA JARDIM ICARAI QUINTANA";1;2;-;-;-;3
"2787601 AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA";32;7;-;-;1;40
"2788225 AMA UBS INTEGRADA PERUS";-;1;-;-;-;1
"2788292 AMA UBS INTEGRADA PQ DOROTEIA";-;2;-;-;3;5
"2788322 AMA UBS INTEGRADA PQ FERNANDA";18;1;-;-;-;19
"2077655 ASSOC AACD V CLEMENTINO";6;3;-;-;-;9
"5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS";1;18;-;2;-;21
"9373306 ASSOCIACAO HOSPITALAR CONEGO DOMENICO RANGONI";3;2;-;1;-;6
"2091399 ASSOCIACAO NOSSA SENHORA DO PARI";1;-;-;1;1;3
"6984649 BP HOSPITAL FILANTROPICO";7;-;-;-;1;8
"6430120 BP MIRANTE";111;20;-;4;20;155
"2764814 CASA DE CARIDADE DE SAO LOURENCO";-;1;-;-;-;1
"2081946 CASA DE SAUDE";1;1;-;-;-;2
"2084309 CASA DE SAUDE";1;-;-;-;-;1
"3008398 CASA DE SAUDE SANTOS";-;-;-;-;1;1
"2271443 CASA DE SAUDE SAO JOSE";-;1;-;-;-;1
"2082926 CASA DE SAUDE STELLA MARIS";1;1;-;-;-;2
"2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO";56;26;1;-;-;83
"2048035 CENTRO DE VIGILANCIA A SAUDE DE DIADEMA";-;-;-;-;1;1
