estab_internacao;zero_nove;dez_nove;vinte_nove;trinta_nove;quarenta_nove;cinquenta_nove;sessenta_nove;setenta_nove;oitenta_nove;noventa_nove;cem_mais;ignorada;total
2077531 A C CAMARGO CANCER CENTER;;2;1;7;20;37;54;39;21;2;;;183
6771084 AES TATUAPE;;;;;;;;1;;;;;1
6138667 AMA CAMPO LIMPO FERNANDO MAURO P DA ROCHA;;;;;;1;;;;;;;1
6218830 AMA CAPAO REDONDO;12;;1;7;1;11;9;7;4;;;;52
6143180 AMA ENGENHEIRO GOULART DR JOSE PIRES;;1;2;3;8;7;9;9;11;2;;;52
6165478 AMA HOSPITAL DR ARTHUR RIBEIRO DE SABOYA;2;;2;5;2;1;4;1;2;1;;;20
6146295 AMA HOSPITAL IGNACIO PROENCA DE GOUVEA;;;;;;;1;;;;;;1
6146309 AMA HOSPITALAR DR CARMINO CARICCHIO;3;;1;5;6;17;2;16;8;2;;;60
6135927 AMA PARELHEIROS;1;;;;;;;;1;;;;2
6131662 AMA PARQUE FERNANDA;;1;1;1;5;1;4;3;;;;;16
6133622 AMA SACOMA;;;;8;2;3;7;2;;1;;1;24
6998208 AMA SOROCABANA;;;;;1;;;1;;;;;2
2787253 AMA UBS INTEGRADA JARDIM CASTRO ALVES DRA MARIA CRISTINA F;;;;1;;1;1;;;;;;3
2787474 AMA UBS INTEGRADA JARDIM ICARAI QUINTANA;;;;;;1;;2;;;;;3
2787601 AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA;;;4;4;6;11;6;4;4;1;;;40
2788225 AMA UBS INTEGRADA PERUS;;;;;;;1;;;;;;1
2788292 AMA UBS INTEGRADA PQ DOROTEIA;;;;;1;2;1;;;1;;;5
2788322 AMA UBS INTEGRADA PQ FERNANDA;;;;2;3;6;5;3;;;;;19
2077655 ASSOC AACD V CLEMENTINO;2;2;;;2;1;;1;1;;;;9
5607442 ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;;;;;;;3;10;7;1;;;21
9373306 ASSOCIACAO HOSPITALAR CONEGO DOMENICO RANGONI;;;1;1;;;2;1;1;;;;6
2091399 ASSOCIACAO NOSSA SENHORA DO PARI;;;1;1;;;;1;;;;;3
6984649 BP HOSPITAL FILANTROPICO;;1;3;4;;;;;;;;;8
6430120 BP MIRANTE;;;;10;23;34;34;27;19;7;1;;155
2764814 CASA DE CARIDADE DE SAO LOURENCO;;;;;;;1;;;;;;1
2081946 CASA DE SAUDE;;;;1;1;;;;;;;;2
2084309 CASA DE SAUDE;;;;1;;;;;;;;;1
3008398 CASA DE SAUDE SANTOS;;;;;;;;;;1;;;1
2271443 CASA DE SAUDE SAO JOSE;;;;;;;;;;1;;;1
2082926 CASA DE SAUDE STELLA MARIS;;1;1;;;;;;;;;;2
2078287 CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;;;3;7;15;25;25;6;2;;;;83
2048035 CENTRO DE VIGILANCIA A SAUDE DE DIADEMA;;;;;1;;;;;;;;1
2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG;;;2;4;2;8;5;3;1;1;;;26
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;2;1;3;5;12;12;31;6;11;;;;83
3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;;;1;;;;1;;;;;;2
2079666 CENTRO MEDICO DE CAMPINAS;;;;;;;1;;;;;;1
3464555 CENTRO MEDICO PMESP;;;4;30;63;133;38;24;19;2;;;313
3065634 CHN COMPLEXO HOSPITALAR DE NITEROI;;;;;;;;;1;;;;1
9089136 CLINICA PREMIUM CARE FILIAL BELA VISTA;;;;;1;;1;;;;;;2
9238735 CLINICA PREMIUM CARE FILIAL CAMPO BELO;;;;;;;1;;;;;;1
6032699 CLINICA PREMIUM CARE VILA OLIMPIA;;;1;;;;;;;;;;1
2384299 COMPLEXO HOSPITAL DE CLINICAS;1;;;1;1;2;;1;;;;;6
0015369 COMPLEXO HOSPITALAR DO TRABALHADOR - CURITIBA - PR;;;1;1;;;;;;;;;2
6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES - SANTOS (SP);;;;;1;;;;;;;;1
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;1;;;;;;1;;;;;;2
2082594 COMPLEXO HOSPITALAR MUNICIPAL;15;1;;;;1;1;1;1;;;;20
6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I;;;1;4;9;4;6;2;1;;;;27
7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II;16;;;;;;;;;;;;16
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;;1;4;9;17;23;19;8;3;1;;;85
6053858 COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI;;;;;;1;;2;;;;;3
7593643 COMPLEXO HOSPITALAR SANTO EXPEDITO;;;;1;;1;;1;;;;;3
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;;2;33;81;142;181;188;116;37;10;1;;791
