est_internacao;id;menor01a;01a;02a;03a;04a;05a;06a;07a;08a;09a;10a;11a;12a;13a;14a;15a;16a;17a;18a;19a;20a;21a;22a;23a;24a;25a;26a;27a;28a;29a;30a;31a;32a;33a;34a;35a;36a;37a;38a;39a;40a;41a;42a;43a;44a;45a;46a;47a;48a;49a;50a;51a;52a;53a;54a;55a;56a;57a;58a;59a;60a;61a;62a;63a;64a;65a;66a;67a;68a;69a;70a;71a;72a;73a;74a;75a;76a;77a;78a;79a;80a;81a;82a;83a;84a;85a;86a;87a;88a;89a;90a;91a;92a;93a;94a;95a;96a;97a;98a;99a;100a;101a;102a;103a;104a;105a
2077477 HOSP STA MARCELINA SAO PAULO;h1;76;53;37;29;13;17;16;12;16;12;12;7;4;7;19;11;10;12;14;10;9;14;18;20;28;29;23;22;31;39;34;37;35;51;35;46;60;52;59;64;48;59;66;69;65;74;57;64;66;51;58;58;53;60;58;66;64;71;70;58;68;61;65;49;57;60;61;56;56;72;50;44;67;54;56;50;48;46;36;43;42;39;38;26;40;22;25;27;17;18;10;18;4;6;5;2;4;1;1;2;;;2;;1;
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;h2;49;13;17;8;5;9;7;7;3;3;3;6;5;6;12;5;11;9;8;9;14;10;17;16;11;25;8;24;22;22;19;29;31;25;29;36;32;29;36;27;43;36;41;34;35;44;39;38;53;44;56;53;56;56;56;70;74;72;65;74;84;85;81;75;85;84;72;82;71;84;82;90;83;62;68;66;58;53;42;47;40;51;39;40;32;33;27;16;23;11;16;9;11;9;7;3;4;5;4;2;1;;;;;1
9554157 HOSPITAL SALVALUS;h3;25;13;19;17;7;11;14;12;8;5;5;5;1;4;3;;3;2;2;2;1;5;2;3;8;9;6;5;6;12;11;14;18;11;17;17;24;28;30;22;25;35;34;37;27;22;29;38;30;34;29;35;44;43;50;49;41;55;50;36;43;57;55;50;76;53;73;66;61;61;54;72;50;40;39;30;37;26;23;28;31;22;27;13;28;24;16;14;10;17;12;18;11;6;7;2;2;3;;;;;;;;
5718368 HOSP MUN M BOI MIRIM;h4;91;44;25;15;18;12;11;15;13;8;7;2;7;2;3;4;4;1;6;4;5;6;7;10;7;10;6;14;4;15;9;13;15;14;18;13;20;20;16;16;18;29;22;13;26;40;25;34;38;36;37;32;41;39;47;29;26;29;41;45;41;38;40;53;45;45;53;46;41;41;35;50;33;49;35;39;35;40;33;23;37;33;25;11;17;13;18;15;12;9;11;7;5;9;7;4;1;;1;;;;;1;;
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;h5;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;1;;1;1;4;3;2;3;3;3;3;4;4;3;1;2;9;4;4;4;2;5;8;4;3;7;3;11;13;9;13;25;27;34;38;38;46;41;51;55;62;60;57;58;67;66;54;62;66;59;52;56;60;66;72;64;73;73;84;57;68;60;51;45;43;30;38;29;31;15;8;15;5;2;2;1;1;;1
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;h6;8;10;6;3;4;5;4;3;3;2;5;5;1;5;2;4;5;3;4;3;4;;3;3;2;;;2;1;2;4;3;;4;4;6;1;2;7;9;3;8;14;4;11;10;10;13;13;19;19;19;20;39;30;29;41;41;34;39;50;33;46;52;45;46;54;41;40;45;52;56;53;47;47;63;57;52;46;42;48;51;38;37;43;37;42;52;34;27;31;32;15;18;9;3;4;9;6;1;3;3;;;;
2066092 HOSPITAL GERAL DE PEDREIRA;h7;36;23;14;9;10;7;13;12;6;6;5;2;7;5;1;3;2;;3;5;4;8;7;7;4;6;6;9;6;12;11;7;8;14;15;21;10;13;23;24;20;23;25;24;29;18;29;28;21;28;31;35;26;37;32;33;41;46;37;44;34;33;37;50;58;47;38;42;48;43;51;38;40;36;40;33;34;30;29;32;34;24;26;19;15;18;21;19;15;9;15;10;8;4;6;6;3;5;1;2;;;;;;
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;h8;48;35;18;19;15;10;8;12;18;16;8;8;9;5;10;9;13;16;6;6;8;8;11;16;8;3;11;13;5;14;15;11;6;15;12;10;18;11;19;16;16;15;19;22;28;19;15;27;29;30;31;27;26;30;38;36;31;42;36;39;38;41;43;43;44;52;41;44;57;44;35;36;23;33;26;20;32;29;25;16;30;19;17;16;17;14;13;16;14;14;10;5;11;11;4;3;4;2;;3;;;;;;
2688603 HOSP STA CATARINA;h9;31;30;12;14;8;14;3;6;3;8;9;2;3;2;2;5;3;4;4;5;3;8;9;9;8;10;7;14;25;19;23;20;28;28;36;28;36;34;36;35;43;20;34;39;34;23;31;34;30;35;34;46;43;32;39;20;38;39;24;24;30;28;30;25;36;22;24;23;28;18;19;20;26;20;15;21;14;17;17;14;16;17;16;17;17;26;10;13;16;26;10;14;20;15;10;8;8;3;4;2;2;;1;1;2;2
2080583 HOSP MUN TIDE SETUBAL;h10;28;9;17;9;15;15;10;11;5;2;;4;1;5;3;4;3;5;4;10;8;2;9;11;9;12;11;14;10;20;12;10;24;19;20;22;13;25;19;19;24;20;23;23;31;16;26;34;28;31;27;41;33;30;30;35;27;18;29;29;37;52;43;36;31;46;34;45;32;30;38;31;33;36;38;34;18;23;28;20;25;16;22;20;28;12;11;19;14;6;14;7;7;5;6;4;3;2;3;;;;;1;2;
